"Group","Status","Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"S","A",0,0,9,3,8,0,0,1,0,0,0,6,9,0,64,1,2,5,1,4,0,2,2,0,0,0,0,4,1,0,4,1,0,3,0,0,0,0,4,6,0,1,0,0,50,19,7,7,3,28,4,0,0,7,0,2,1,1,0,0,0,0,1,2,0,28,4,1,1,0,0,0,3,1,1,0,2,1,0,0,4,2,0,9,0,0,7,3,4,0,18,11,5,1,0,1,1,3,1,0,86,0,3,0,29,0,5,0,2,3,20,45,2,0,14,2,12,3,2,3,2,0,1,0,6,1
"C","A",43,0,19,9,9,0,0,26,0,0,1,5,0,0,5,24,12,15,26,5,1,9,2,0,0,6,4,8,0,28,9,0,0,0,6,48,3,3,25,18,10,0,0,0,85,6,8,6,13,119,17,29,14,16,0,5,0,12,0,13,0,0,35,9,2,127,29,23,4,0,0,1,1,0,0,0,4,0,5,19,25,11,0,28,0,0,26,19,0,0,63,77,28,3,0,0,0,2,0,0,573,0,63,1,219,8,23,8,1,10,76,275,0,0,79,82,61,0,8,1,0,4,0,0,34,1
"S","A",0,0,9,17,3,0,2,16,0,1,2,6,3,2,5,1,0,1,1,1,0,2,0,0,1,7,2,0,1,0,0,0,3,0,2,2,0,0,5,7,1,1,0,0,21,27,10,2,2,30,3,1,1,24,3,2,5,2,2,0,4,1,1,3,0,38,3,0,2,0,3,0,3,2,2,1,3,0,0,1,16,4,0,8,1,2,9,6,8,6,110,88,18,17,2,1,3,2,1,0,91,1,2,3,140,0,15,9,5,10,23,117,1,1,84,26,26,37,2,1,0,0,2,1,20,0
"S","A",0,1,48,45,29,2,3,59,6,0,4,24,20,4,2,14,7,14,2,7,5,4,3,8,1,8,10,9,6,1,16,0,5,7,9,7,1,2,14,30,6,5,0,5,61,66,23,18,4,116,26,2,12,63,9,4,13,4,2,9,11,3,2,4,5,94,9,5,6,2,5,1,11,13,8,1,13,2,2,0,25,1,2,34,1,2,48,27,7,4,380,160,49,21,2,7,1,3,4,2,509,5,25,10,454,4,57,15,9,17,53,301,6,6,261,69,62,105,8,7,4,8,5,1,50,1
"S","A",0,15,13,7,4,0,4,2,0,0,5,6,26,0,1,9,2,0,1,1,11,0,0,0,1,2,0,3,5,2,5,1,2,2,5,5,1,0,21,18,2,4,0,0,45,36,7,6,0,29,1,0,2,36,0,10,1,2,1,0,5,0,0,1,7,128,25,0,2,1,1,2,9,1,2,5,0,1,0,1,19,1,1,7,0,2,5,5,7,1,19,49,14,30,5,3,7,0,0,0,329,0,9,12,74,0,0,0,1,1,35,206,0,2,16,21,11,3,1,1,0,0,1,0,17,2
"S","A",0,0,15,6,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,14,0,18,3,0,1,0,1,0,0,0,24,0,2,0,0,0,0,1,0,0,0,1,11,2,0,0,0,11,0,0,2,0,3,0,0,3,0,26,0,0,3,0,0,38,2,79,8,12,38,7,19,0,0,0,0,0,0,12,0,0,2,8,0,1,2,0,7,2,31,0,15,3,2,2,1,0,0,4,0,2,0,12,0
"C","A",1,0,9,4,2,0,0,6,0,0,2,4,5,0,2,1,0,0,0,0,0,2,0,0,0,1,3,0,2,0,23,1,1,0,0,6,0,0,5,9,0,3,0,0,16,9,4,1,1,17,0,3,2,11,0,3,1,2,0,0,0,0,1,0,5,19,3,2,0,9,1,0,1,2,0,0,1,1,1,0,5,0,1,10,0,0,4,5,2,0,21,21,9,7,6,0,0,0,0,2,107,1,0,4,46,1,4,0,0,3,4,60,0,0,10,10,9,4,0,0,0,0,6,0,8,0
"S","A",0,0,4,4,3,0,0,4,0,0,0,4,2,0,0,0,2,0,0,0,3,0,0,0,0,1,2,2,1,0,0,0,1,1,2,1,0,0,6,5,0,0,0,1,24,4,3,0,0,10,1,0,4,12,0,6,1,0,0,1,2,1,1,2,3,12,3,0,0,0,0,0,38,0,0,0,0,2,0,0,4,1,1,0,0,0,1,1,1,0,7,9,6,4,2,4,0,0,0,0,86,0,4,1,34,1,0,2,1,0,7,48,1,0,10,5,7,1,0,0,5,0,2,0,2,1
"C","A",3,1,2,0,11,0,0,5,0,0,0,3,21,0,0,2,1,2,0,0,0,4,2,1,0,2,1,3,0,0,7,5,0,0,0,4,0,0,14,9,3,0,0,0,62,22,10,4,0,14,0,0,8,23,0,10,1,0,0,0,0,0,0,9,6,30,6,1,0,0,2,0,1,2,0,1,0,1,0,1,17,0,6,1,0,0,21,5,12,13,31,16,6,5,0,1,0,0,2,10,496,0,0,8,34,0,2,0,1,13,20,82,0,3,11,1,11,6,0,0,1,0,6,0,17,0
"C","A",5,3,239,48,18,7,2,144,2,1,3,38,6,5,0,9,9,7,3,2,1,6,3,1,4,19,24,6,3,0,5,0,8,3,21,3,4,2,24,16,7,11,0,0,84,37,25,40,9,93,18,0,2,61,1,7,11,14,1,0,15,3,3,10,2,145,15,5,7,0,7,0,7,5,21,14,12,0,4,1,7,7,0,24,3,0,29,38,3,2,765,128,225,132,236,2,43,52,1,1,332,2,12,8,529,4,89,20,20,15,53,360,8,2,378,75,78,79,3,13,1,2,3,2,119,8
"C","A",7,0,92,84,35,10,3,87,0,0,1,55,23,6,7,6,7,10,18,4,0,0,2,4,1,19,12,9,3,6,5,1,8,7,8,22,12,7,30,44,37,13,0,1,87,87,22,9,13,172,29,2,15,93,5,17,9,8,6,3,18,0,8,11,8,166,17,5,9,0,6,0,29,18,7,4,16,5,3,5,16,7,2,24,4,2,45,31,1,9,507,303,63,20,8,15,1,5,1,3,675,0,20,2,1784,14,104,44,25,13,97,374,7,0,447,114,165,184,7,49,3,6,3,148,64,2
"C","A",1,0,18,18,8,3,1,21,2,0,0,18,5,1,1,8,1,1,1,1,0,1,2,0,0,7,4,3,2,0,4,0,4,8,3,2,0,0,8,3,13,1,3,1,29,19,8,10,1,43,6,1,3,32,1,0,3,1,1,2,6,0,0,11,1,44,6,3,4,0,2,0,6,0,5,3,1,0,0,0,3,2,1,6,0,0,7,19,3,1,114,55,15,15,1,4,5,2,0,0,97,2,7,3,737,2,22,10,7,8,19,148,2,0,139,24,36,33,0,3,0,3,3,0,18,0
